Feature,Importance
Publication Price,0.5322282309312965
Warranty,0.18183583779205537
Listing Type,0.0807891523866399
Category,0.07589403021689443
Condition,0.04848528054598078
Accepts Mercadopago,0.04201931918468878
Free Shipping,0.03874814894244442
