Genre,Importance
biography,0.19523673047586634
action,0.11300892076161015
crime,0.09551032919067914
thriller,0.09228437942402909
horror,0.08984276259117635
romance,0.07943352615751756
adventure,0.06684642041831573
history,0.06338419149513748
mystery,0.05390631649181174
fantasy,0.05282306900354716
war,0.039438972838663384
family,0.033381350663023876
animation,0.024482506473776075
film-noir,0.0004205240148458948
sports,0.0
scifi,0.0
